date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-11-22,23.4,20.6,29.4,15.7,,,10.4,,1011.3,
2015-11-23,22.3,17.8,25.6,0,,356,14,,1017,
2015-11-24,20.7,17.2,25,0,,,16.6,,1020.6,
2015-11-25,23.1,20.6,26.1,6.9,,64,21.2,,1022,
2015-11-26,23.7,21.1,26.7,4.3,,59,20.2,,1023.4,
2015-11-27,24.4,21.1,27.2,4.6,,53,19.1,,1021.2,
2015-11-28,23.8,20,27.2,0.5,,10,12.2,,1018.7,
2015-11-29,22.9,18.9,27.2,0,,18,13.7,,1017.1,
2015-11-30,23.8,21.7,26.1,7.6,,,11.2,,,
2015-12-01,23.3,20,28.3,4.1,,,11.2,,1015.7,
2015-12-02,25.6,23.3,28.3,7.4,,139,10.4,,1014.4,
2015-12-03,25.2,22.2,28.9,34.5,,,3.2,,,236
2015-12-04,22.6,21.1,24.4,94.7,,,7.9,,1019.2,172
2015-12-05,23,22.2,25,74.7,,27,11.2,,1021.2,111
2015-12-06,24.8,23.9,26.7,0,,54,19.1,,1020.8,391
2015-12-07,23.6,20,24.4,2.3,,,9,,1017,123
2015-12-08,21,19.4,23.3,17,,,9.7,,1015.8,0
2015-12-09,23.4,21.1,28.3,0.3,,,5.8,,1014.5,
2015-12-10,24.1,21.7,27.2,0,,,4,,1015.2,
2015-12-11,24.4,21.1,28.3,0,,,8.3,,1017.2,501
2015-12-12,24.7,20.6,28.3,0,,,14.4,,1019.5,535
2015-12-13,25.3,23.9,27.8,1.3,,87,20.9,,1016.2,517
2015-12-14,25.5,23.3,28.9,0.8,,,11.5,,1014,557
2015-12-15,25.4,22.2,28.9,0,,132,9,,1013.2,586
2015-12-16,25.2,21.7,28.9,0,,,9.7,,1014,593
2015-12-17,25.8,23.9,28.9,0,,133,13,,1014.1,556
2015-12-18,26.1,21.7,29.4,0,,,10.4,,1016.1,470
2015-12-19,21.7,17.8,24.4,0,,16,19.8,,,536
2015-12-20,22.8,21.1,25,4.3,,57,21.2,,1025,327
2015-12-21,24.8,23.3,27.8,2,,93,25.9,,1021.7,531
2015-12-22,25.5,23.3,28.3,1.8,,,16.9,,,455
2015-12-23,26,25,28.3,0,,136,18.7,,1017.5,510
2015-12-24,26.4,25,28.9,0,,114,18.7,,1020.5,522
2015-12-25,26.4,25,28.9,0,,104,21.6,,1022.4,530
2015-12-26,25.8,22.8,28.9,2.3,,99,20.9,,1021.6,536
2015-12-27,25.8,24.4,28.3,0.3,,106,21.6,,1018.1,539
2015-12-28,26.1,24.4,28.9,0,,121,18.7,,1016.7,545
2015-12-29,26.3,25,28.3,0,,124,18,,1020.1,563
2015-12-30,26.2,25,28.9,1.8,,115,16.9,,,
2015-12-31,26.1,23.9,28.9,0,,118,14.4,,1020.5,
2016-01-01,25.8,23.3,28.9,0.3,,,9.4,,1018.8,533
2016-01-02,24.9,21.7,28.9,1.8,,,6.5,,,510
2016-01-03,22.8,18.3,26.1,26.7,,,7.9,,1014.3,327
2016-01-04,18.8,16.1,21.7,1,,,12.6,,1014.8,492
2016-01-05,18.4,15.6,22.2,7.6,,20,18,,1019.3,202
2016-01-06,20.8,18.3,23.3,3.3,,34,13.3,,1017.7,417
2016-01-07,19.9,16.7,24.4,0,,,7.9,,1015.3,532
2016-01-08,21.9,17.2,26.7,0,,,8.6,,1012.9,469
2016-01-09,23.4,17.8,28.9,0,,,7.9,,1012,581
2016-01-10,23.7,20,28.3,9.4,,247,12.6,,1014.4,554
2016-01-11,19.1,15,22.2,1.3,,,13,,1019.1,471
2016-01-12,16.7,14.4,18.9,4.8,,334,10.1,,1020.1,329
2016-01-13,18.1,15.6,21.7,0,,354,10.4,,1020.4,455
2016-01-14,19.2,16.7,22.2,1.8,,61,10.8,,1018.7,279
2016-01-15,22.1,18.3,23.9,37.6,,185,15.8,,1011.3,146
2016-01-16,20.2,16.7,25.6,0.8,,,7.6,,,504
2016-01-17,23.3,15.6,26.1,3.8,,256,21.2,,,458
2016-01-18,16.1,13.3,18.9,0,,326,15.1,,1020.1,562
2016-01-19,15,11.7,17.8,0,,347,14.8,,1025.3,509
2016-01-20,15.3,11.1,22.2,0,,,10.4,,1023.6,587
2016-01-21,18.6,12.2,23.9,0,,,13.3,,1020.8,540
2016-01-22,21.1,17.2,22.2,25.1,,183,14.8,,,45
2016-01-23,17.4,12.2,19.4,0,,275,19.1,,1012.6,594
2016-01-24,12.2,7.8,16.1,0,,,13,,1021.1,614
2016-01-25,14.4,10,22.8,0,,,11.2,,1023.4,593
2016-01-26,22,19.4,26.1,0,,120,18,,1021.4,571
2016-01-27,24.5,19.4,27.8,20.3,,147,18.7,,,406
2016-01-28,21.4,19.4,23.3,46.7,,,11.9,,,200
2016-01-29,18.1,12.2,20,0,,,10.1,,,395
2016-01-30,16.2,11.1,22.8,0,,,8.3,,1020.9,553
2016-01-31,20,15,25,0,,,9.4,,1019.5,561
